filename,num_points,time
001_annotation.yaml,233,
002_annotation.yaml,106,
003_annotation.yaml,54,
004_annotation.yaml,124,
005_annotation.yaml,41,
006_annotation.yaml,95,
007_annotation.yaml,217,
008_annotation.yaml,108,
009_annotation.yaml,127,
010_annotation.yaml,106,
011_annotation.yaml,98,
012_annotation.yaml,39,
013_annotation.yaml,118,
014_annotation.yaml,47,
015_annotation.yaml,45,
016_annotation.yaml,167,
017_annotation.yaml,98,
018_annotation.yaml,101,
019_annotation.yaml,68,
020_annotation.yaml,33,
021_annotation.yaml,49,
022_annotation.yaml,93,
023_annotation.yaml,79,
024_annotation.yaml,60,
025_annotation.yaml,78,
026_annotation.yaml,50,
027_annotation.yaml,90,
028_annotation.yaml,163,
029_annotation.yaml,137,
030_annotation.yaml,33,
031_annotation.yaml,59,
032_annotation.yaml,69,
033_annotation.yaml,110,
034_annotation.yaml,122,
035_annotation.yaml,116,
036_annotation.yaml,189,
037_annotation.yaml,66,
038_annotation.yaml,139,
039_annotation.yaml,79,
040_annotation.yaml,91,
041_annotation.yaml,113,
042_annotation.yaml,50,
043_annotation.yaml,49,
044_annotation.yaml,41,
045_annotation.yaml,131,
046_annotation.yaml,29,
047_annotation.yaml,44,
048_annotation.yaml,59,
049_annotation.yaml,38,
050_annotation.yaml,18,
051_annotation.yaml,150,
052_annotation.yaml,155,
053_annotation.yaml,55,
054_annotation.yaml,115,
055_annotation.yaml,105,
056_annotation.yaml,123,
057_annotation.yaml,148,
058_annotation.yaml,209,
059_annotation.yaml,204,
060_annotation.yaml,171,
